"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -2.82181759,     -0.9466002197,     -0.2858390826,       2.657591458
          0,           0,           1,      -2.962760929,      -1.200176388,     -0.2369313952,        2.51957171
          0,           0,           2,      -3.066944673,      -1.191808141,      -0.739484283,       2.414149971
          0,           0,           3,      -3.220884249,      -1.248499745,     -0.7249479111,       2.258815645
          0,           0,           4,      -3.517342271,      -1.473820349,       -1.01748819,       1.963593084
          0,           0,           5,      -3.571732325,      -1.591385424,     -0.9692330292,       1.908904519
          0,           0,           6,      -3.832122242,      -1.877767793,      -1.171344166,       1.649369118
          0,           0,           7,      -4.011073888,      -2.016543818,      -1.478502424,       1.467735862
          0,           0,           8,      -4.152060763,      -2.197049463,      -1.601037487,       1.329543812
          0,           0,           9,      -4.610234722,      -2.284880552,      -2.144399796,      0.8632403388
          0,           0,          10,      -4.943894164,      -2.335697714,      -2.397990759,      0.5398339648
          0,           0,          11,       -4.76467931,      -2.387227843,      -2.258393732,      0.7198713215
          0,           0,          12,       -5.25978495,      -2.399609335,      -2.586697817,      0.2233403846
          0,           0,          13,      -5.146375648,      -2.410862981,       -2.53476726,      0.3370835315
          0,           0,          14,      -5.033535666,      -2.431554848,      -2.451183912,      0.4502115576
          0,           0,          15,      -4.959015975,      -2.463368083,      -2.413002579,      0.5235707972
          0,           0,          16,      -5.358508662,       -2.46737693,      -2.736075544,      0.1257078237
          0,           0,          17,      -5.265408629,       -2.47665216,      -2.673421202,      0.2175355752
          0,           0,          18,      -5.183414737,      -2.493031067,      -2.617287079,      0.2983477684
          0,           0,          19,      -5.136625977,      -2.517684895,      -2.614271274,      0.3442534443
          0,           0,          20,      -5.473525984,      -2.522139847,       -2.86093685,     0.00564910913
          0,           0,          21,       -5.39428392,      -2.528082171,      -2.809136105,     0.08506230845
          0,           0,          22,       -5.32387872,      -2.539500762,      -2.763027366,      0.1563298407
          0,           0,          23,       -5.27497494,      -2.559216763,      -2.753177345,      0.2060016154
          0,           0,          24,      -5.556438346,      -2.561719476,      -2.943281295,    -0.07687019644
          0,           0,          25,      -5.505343751,      -2.567693222,      -2.906977362,    -0.02596242003
          0,           0,          26,      -5.414307768,      -2.577616411,      -2.838748971,     0.06675973823
          0,           0,          27,      -5.342174928,      -2.595460633,      -2.802397456,       0.139794348
          0,           0,          28,      -5.384894901,      -2.612702857,       -2.83939069,     0.09716904833
          0,           0,          29,      -5.273839421,      -2.642292862,      -2.784695491,      0.2082414814
          0,           0,          30,      -5.162478772,      -2.688777357,      -2.701923709,      0.3194568998
          0,           0,          31,       -5.56989608,      -2.697007266,      -2.961072394,    -0.09079933514
          0,           0,          32,      -5.516058633,       -2.70722038,       -2.93693244,    -0.03500364388
          0,           0,          33,       -5.44237654,      -2.726407051,      -2.915416801,     0.03915622245
          0,           0,          34,      -5.744653152,      -2.727484086,      -3.120545421,      -0.263792699
          0,           0,          35,      -5.655949508,      -2.731468546,      -3.048369344,      -0.175066446
          0,           0,          36,      -5.585386088,      -2.739714344,      -3.003142129,     -0.1045272544
          0,           0,          37,      -5.616325228,      -2.747079494,      -3.036714865,     -0.1351905094
          0,           0,          38,        -5.6457361,       -2.75454128,      -3.068557606,     -0.1645436857
          0,           0,          39,      -5.673822451,      -2.761923511,      -3.099661035,     -0.1926290336
          0,           0,          40,      -5.703196157,      -2.769163013,      -3.130366176,     -0.2220507837
          0,           0,          41,      -5.731306649,      -2.776162693,      -3.157499693,     -0.2502131063
          0,           0,          42,      -5.753824894,       -2.78285776,      -3.177696258,     -0.2727394738
          0,           0,          43,      -5.769795765,      -2.789257403,      -3.191499544,     -0.2886216797
          0,           0,          44,      -5.781101705,      -2.795443131,      -3.202057133,     -0.2997399631
          0,           0,          45,      -5.791066708,      -2.801528658,      -3.213144947,     -0.3094646718
          0,           0,          46,      -5.712482756,       -2.81377907,      -3.179230651,     -0.2303582712
          0,           0,          47,      -5.991359018,      -2.814328028,      -3.392021078,     -0.5090815163
          0,           0,          48,      -5.935566152,      -2.816657568,      -3.342212015,     -0.4535809281
          0,           0,          49,      -5.875218017,      -2.822101242,      -3.296069695,     -0.3931500967
          0,           0,          50,      -5.811331106,      -2.832048769,      -3.274780487,     -0.3291025448
          0,           0,          51,      -5.846612171,      -2.841073065,      -3.311603609,     -0.3639727242
          0,           0,          52,      -5.715712097,      -2.858020461,      -3.256891413,     -0.2332107879
          0,           0,          53,      -6.042062956,      -2.859152651,      -3.423539412,     -0.5617666534
          0,           0,          54,      -5.966284132,       -2.86154357,      -3.368197003,       -0.48361775
          0,           0,          55,      -5.894644848,      -2.868761344,       -3.33667194,     -0.4117753342
          0,           0,          56,      -6.136897194,      -2.869090032,      -3.525937833,     -0.6516919253
          0,           0,          57,      -6.056861562,      -2.871107646,      -3.452450065,     -0.5726956232
          0,           0,          58,      -5.974011419,      -2.875791641,      -3.395029041,     -0.4908138132
          0,           0,          59,      -5.992803047,      -2.879979191,      -3.417955325,     -0.5092902265
          0,           0,          60,      -5.918710786,      -2.888387929,      -3.389888981,     -0.4351547176
          0,           0,          61,      -6.198467552,      -2.888744798,      -3.588576802,     -0.7130626447
          0,           0,          62,      -6.129311864,      -2.890227502,      -3.528446239,     -0.6435130116
          0,           0,          63,      -6.068505089,      -2.894814283,      -3.492131884,     -0.5834189386
          0,           0,          64,      -5.981829801,       -2.90296824,      -3.461095374,     -0.4968754329
          0,           0,          65,      -6.253402617,      -2.902998579,      -3.640709479,     -0.7652726392
          0,           0,          66,      -6.175703841,      -2.904534159,      -3.574987156,     -0.6881968156
          0,           0,          67,       -6.11807723,      -2.908955224,      -3.543495402,     -0.6310294251
          0,           0,          68,      -6.022495591,       -2.91693721,      -3.505018461,     -0.5362263485
          0,           0,          69,      -6.285037381,      -2.917054909,      -3.685355651,     -0.7952455631
          0,           0,          70,       -6.21761543,      -2.918547063,      -3.625730001,     -0.7284989875
          0,           0,          71,      -6.159329004,      -2.922832172,      -3.590642933,     -0.6708179367
          0,           0,          72,      -6.070127743,      -2.930694457,       -3.56390963,     -0.5825113732
