"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -2.82181759,     -0.9466002197,     -0.2858390826,        2.70828689
          0,           0,           1,      -2.962329041,       -1.22426376,     -0.2883929204,       2.607398266
          0,           0,           2,      -3.203394734,      -1.451245496,     -0.8773617783,       2.396354906
          0,           0,           3,      -3.264129241,       -1.50432197,     -0.9669968885,       2.030511819
          0,           0,           4,      -3.283928352,       -1.60853116,      -1.105055109,       1.830685209
          0,           0,           5,      -3.333242556,      -1.704436522,      -1.185774754,       1.720902748
          0,           0,           6,      -3.417228792,      -1.851393534,      -1.510282906,       1.382966092
          0,           0,           7,       -3.47143311,      -1.913521943,      -1.654377564,       1.295166228
          0,           0,           8,      -3.506408561,      -1.948127621,      -1.541427847,       1.375591291
          0,           0,           9,      -3.546866883,      -2.035838325,      -1.655332721,       1.232597951
          0,           0,          10,      -3.586622023,      -2.130131172,      -1.943746734,      0.9275439732
          0,           0,          11,      -3.618988523,      -2.161500405,      -1.904396675,       1.013194613
          0,           0,          12,      -3.650795418,      -2.171204104,      -1.804380516,       1.099919522
          0,           0,          13,      -3.686666276,      -2.201505179,      -1.863835873,       1.021921048
          0,           0,          14,      -3.722126451,      -2.239986476,      -2.041531393,      0.8196178716
          0,           0,          15,      -3.752206654,      -2.268882047,      -2.219203613,      0.6247907912
          0,           0,          16,      -3.777503117,      -2.291759836,      -2.257066166,      0.5942504657
          0,           0,          17,      -3.800763413,      -2.315457088,      -2.288491155,      0.5563279221
          0,           0,          18,      -3.823217131,      -2.337055756,      -2.332480013,      0.5137203558
          0,           0,          19,      -3.845162213,      -2.353035859,      -2.325882348,      0.5405979295
          0,           0,          20,      -3.866946607,      -2.365694074,       -2.30859008,      0.5678256849
          0,           0,          21,      -3.888566281,      -2.378431225,      -2.328600882,      0.5466794817
          0,           0,          22,      -3.909451176,      -2.391990591,      -2.383008262,      0.4874483496
          0,           0,          23,      -3.929042792,      -2.405677638,      -2.446567163,      0.4203118934
          0,           0,          24,      -3.947268587,      -2.418931754,      -2.497188008,      0.3696911302
          0,           0,          25,      -3.964427342,      -2.431366144,      -2.529285139,      0.3408155193
          0,           0,          26,      -3.980865845,      -2.442623372,      -2.545444976,      0.3300026661
          0,           0,          27,      -3.996816237,       -2.45264801,       -2.55157233,      0.3293319798
          0,           0,          28,      -4.012374056,      -2.461769555,       -2.55747701,      0.3272549538
          0,           0,          29,      -4.027519146,      -2.470407337,      -2.570720805,      0.3162521609
          0,           0,          30,      -4.042169153,      -2.478810371,      -2.592336292,      0.2962782339
          0,           0,          31,      -4.056253187,      -2.487041292,      -2.618483563,      0.2720182092
          0,           0,          32,      -4.069759605,      -2.495070056,      -2.644069227,      0.2488861042
          0,           0,          33,      -4.082734371,      -2.502845318,      -2.665624856,      0.2302044675
          0,           0,          34,      -4.095249398,      -2.510329171,      -2.682569362,      0.2161984927
          0,           0,          35,      -4.107370125,      -2.517512872,      -2.696720845,       0.204769166
          0,           0,          36,      -4.119138322,      -2.524414773,      -2.710707352,      0.1932313281
          0,           0,          37,      -4.130570837,       -2.53106637,      -2.726378665,      0.1798638298
          0,           0,          38,      -4.141669199,       -2.53750049,      -2.744157492,      0.1644245148
          0,           0,          39,      -4.152432637,      -2.543747212,      -2.763366847,      0.1477169809
          0,           0,          40,      -4.162867386,      -2.549832967,      -2.782998093,      0.1307932048
          0,           0,          41,      -4.172988915,      -2.555779045,      -2.802369164,      0.1143238431
          0,           0,          42,      -4.182818389,      -2.561600487,      -2.821364317,     0.09840295572
          0,           0,          43,      -4.192377148,      -2.567307079,      -2.840257799,     0.08274903076
          0,           0,          44,      -4.201682568,      -2.572905826,      -2.859352376,     0.06705840904
          0,           0,          45,       -4.21074688,      -2.578402981,      -2.878696069,     0.05125978948
          0,           0,          46,      -4.219578546,      -2.583804581,      -2.898014573,     0.03555526118
          0,           0,          47,      -4.228184706,      -2.589115715,      -2.916842806,     0.02028762672
          0,           0,          48,      -4.236573313,      -2.594339066,      -2.934754477,    0.005761204919
          0,           0,          49,      -4.244753722,      -2.599474901,      -2.951530296,    -0.00788269018
          0,           0,          50,      -4.252736057,       -2.60452276,      -2.967189185,    -0.02068367752
          0,           0,          51,       -4.26053026,      -2.609483427,      -2.981913905,    -0.03279166205
          0,           0,          52,      -4.268145379,      -2.614360308,      -2.995935237,    -0.04437439095
          0,           0,          53,      -4.275589357,      -2.619159527,      -3.009446218,    -0.05556065081
          0,           0,          54,       -4.28286922,      -2.623888835,      -3.022569609,    -0.06642769311
          0,           0,          55,       -4.28999141,      -2.628555983,       -3.03536064,    -0.07701229918
          0,           0,          56,      -4.296962035,      -2.633167309,      -3.047816788,    -0.08732194917
          0,           0,          57,      -4.303786972,      -2.637726993,      -3.059880888,    -0.09733627603
          0,           0,          58,      -4.310471844,      -2.642237046,      -3.071443374,     -0.1070045345
          0,           0,          59,      -4.317021979,      -2.646697828,      -3.082357763,     -0.1162510183
          0,           0,          60,      -4.323442416,      -2.651108809,      -3.092478702,     -0.1249950003
          0,           0,          61,      -4.329738005,      -2.655469174,      -3.101717352,     -0.1331858107
          0,           0,          62,      -4.335913426,      -2.659778345,      -3.110078702,      -0.140830629
          0,           0,          63,      -4.341973248,      -2.664036573,      -3.117668641,     -0.1479827711
          0,           0,          64,      -4.347921973,      -2.668245145,       -3.12469094,     -0.1547461737
          0,           0,          65,      -4.353763985,      -2.672406362,      -3.131408599,     -0.1612660654
          0,           0,          66,      -4.359503497,      -2.676523292,       -3.13810135,     -0.1677065272
          0,           0,          67,       -4.36514449,      -2.680599378,      -3.145025273,     -0.1742256916
          0,           0,          68,      -4.370690651,      -2.684638006,      -3.152379183,     -0.1809546199
          0,           0,          69,      -4.376145336,      -2.688642096,      -3.160283575,     -0.1879824779
          0,           0,          70,      -4.381511565,      -2.692613798,      -3.168773602,     -0.1953491981
          0,           0,          71,      -4.390529321,      -2.703649903,      -3.073652485,     0.02856490789
          0,           0,          72,      -4.396492419,      -2.704776293,      -3.082907921,     -0.2038550627
          0,           0,          73,      -4.404996718,      -2.715146553,      -3.075351707,   -0.006487949458
          0,           0,          74,      -4.410905875,      -2.715870776,      -3.119382299,     -0.2294616095
          0,           0,          75,      -4.419664246,      -2.726022512,      -3.116224169,    -0.03420868815
          0,           0,          76,      -4.425040459,      -2.726764831,      -3.148371126,     -0.2555229089
          0,           0,          77,      -4.433572533,      -2.736754105,      -3.145063821,    -0.05867441841
          0,           0,          78,      -4.438504711,      -2.737420966,      -3.173102018,     -0.2761067787
          0,           0,          79,      -4.446943094,      -2.747129363,      -3.169941493,    -0.08061565714
          0,           0,          80,       -4.45150705,      -2.747730951,      -3.197587547,      -0.296705435
          0,           0,          81,      -4.459828614,      -2.757195872,      -3.197253101,     -0.1032912379
          0,           0,          82,      -4.464026924,       -2.75775259,      -3.223011113,     -0.3178741655
          0,           0,          83,      -4.472213165,      -2.766981163,      -3.224167497,     -0.1252336742
          0,           0,          84,      -4.476083702,      -2.767499455,      -3.248008475,     -0.3383424953
          0,           0,          85,      -4.484140032,      -2.776479228,       -3.25007226,     -0.1462781369
          0,           0,          86,      -4.487720333,      -2.776962353,      -3.272126027,     -0.3578696996
          0,           0,          87,      -4.495644164,      -2.785692723,      -3.274217788,     -0.1663258782
          0,           0,          88,      -4.498961572,      -2.786146935,      -3.294490637,     -0.3759146934
          0,           0,          89,      -4.506747779,      -2.794632014,      -3.295302465,     -0.1850360969
          0,           0,          90,      -4.509829538,      -2.795061406,      -3.314650407,     -0.3922344052
          0,           0,          91,      -4.517478692,      -2.803305764,      -3.313403078,     -0.2024682442
          0,           0,          92,      -4.520349769,      -2.803714805,      -3.333302584,     -0.4073992522
          0,           0,          93,      -4.527865414,      -2.811729965,      -3.330304482,     -0.2192067724
          0,           0,          94,      -4.530545748,      -2.812123953,      -3.351873082,     -0.4225260291
          0,           0,          95,      -4.537933255,      -2.819926144,      -3.348253907,     -0.2360296685
          0,           0,          96,       -4.54043733,      -2.820308593,      -3.371443859,     -0.4384851921
          0,           0,          97,      -4.547702738,      -2.827914152,      -3.368352876,     -0.2533584552
          0,           0,          98,      -4.550041118,      -2.828284962,      -3.392051438,     -0.4553286129
          0,           0,          99,      -4.557189494,      -2.835707281,      -3.390180042,     -0.2711135383
          0,           0,         100,      -4.559371245,      -2.836063278,      -3.412842356,      -0.472396407
          0,           0,         101,      -4.566406082,      -2.843312533,      -3.412323949,     -0.2888354447
          0,           0,         102,      -4.568440418,      -2.843650224,      -3.432865454,     -0.4889547492
          0,           0,         103,      -4.575364848,      -2.850733794,      -3.433431954,     -0.3060222403
