"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,           0,      -21.68089307,      -21.68089307,               -32,      -3.206154443
          0,           0,           1,      -5.287313655,      -4.882989659,      -5.215323608,      -3.243640634
          0,           0,           2,      -5.108124698,      -5.011814894,      -5.489401843,      -3.300962045
          0,           0,           3,      -5.158643616,      -5.203620988,      -5.524899591,      -3.390076665
          0,           0,           4,      -5.278222568,      -5.429645713,      -5.336002463,       -3.52615975
          0,           0,           5,      -5.478603973,      -5.796591424,      -5.650409331,      -3.720595277
          0,           0,           6,      -5.651171716,      -5.889881057,      -5.593208741,      -3.979789372
          0,           0,           7,      -5.837808983,      -5.958115645,      -5.662862249,      -4.271821099
          0,           0,           8,      -6.118316351,       -6.25047706,      -5.975257921,       -4.46844363
          0,           0,           9,      -6.322123362,      -6.359599861,      -6.137234626,      -4.567237889
          0,           0,          10,      -6.501153154,      -6.533401788,       -6.25822183,      -4.677511159
          0,           0,          11,      -6.677217508,      -6.681673717,      -6.402603773,       -4.83088292
          0,           0,          12,      -6.836581707,      -6.823279232,      -6.553768735,      -5.040743058
          0,           0,          13,      -6.949258058,      -6.923928587,      -6.667102499,      -5.322157838
          0,           0,          14,      -7.018262727,      -6.976951974,       -6.72057377,      -5.670278298
          0,           0,          15,      -7.039411303,      -6.980911161,      -6.724078807,      -6.021977139
          0,           0,          16,      -7.035841275,      -6.972249429,      -6.710064599,      -6.253302107
          0,           0,          17,      -7.051492887,      -6.988911687,      -6.718880931,      -6.357238077
          0,           0,          18,      -7.095454727,      -7.031710976,      -6.757342683,      -6.418775454
          0,           0,          19,      -7.159150286,      -7.090222372,      -6.816147085,      -6.473343581
          0,           0,          20,      -7.233801896,      -7.157850324,      -6.886073499,      -6.528884259
          0,           0,          21,      -7.311875543,      -7.230976565,      -6.959286607,      -6.587148551
          0,           0,          22,      -7.388821099,      -7.306963715,      -7.031939779,      -6.648333096
          0,           0,          23,      -7.465175137,      -7.384929002,      -7.105640752,      -6.712001323
          0,           0,          24,        -7.5449627,      -7.465347515,      -7.184445727,      -6.777472049
          0,           0,          25,       -7.63195037,      -7.549324025,      -7.271546504,      -6.844083039
          0,           0,          26,      -7.729258345,      -7.637800008,      -7.369186619,      -6.911345089
          0,           0,          27,       -7.83856496,      -7.730126061,      -7.478368534,      -6.978902577
